codigo_aeronave;codigo_ocorrencia;matricula;codigo_operador;equipamento;fabricante;modelo;tipo_motor;quantidade_motores;peso_maximo_decolagem;quantidade_assentos;ano_fabricacao;pais_registro;categoria_registro;categoria_aviacao;origem_voo;destino_voo;fase_operacao;tipo_operacao;nivel_dano;quantidade_fatalidades;dia_extracao
9113;26780;PRJAC;3992;HELIC‡PTERO;ROBINSON HELICOPTER;R44;PIST«O;1;1088;4;2005;BRASIL;TPP;PARTICULAR;SIVU;****;CRUZEIRO;PRIVADA;SUBSTANCIAL;0;30/07/2016
9113;51413;PRJAC;3992;HELIC‡PTERO;ROBINSON HELICOPTER;R44;PIST«O;1;1088;4;2005;BRASIL;TPP;PARTICULAR;****;****;POUSO;PRIVADA;SUBSTANCIAL;0;30/07/2016
9116;26860;PTYGG;3992;HELIC‡PTERO;ROBINSON HELICOPTER;R44;PIST«O;1;1088;4;1995;BRASIL;TPP;PARTICULAR;SSUO;****;CRUZEIRO;PRIVADA;DESTRU÷DA;1;30/07/2016
9117;26861;PRBRD;1034;AVI«O;BOEING COMPANY;737-3M8;JATO;2;62142;157;1989;BRASIL;TPN;N«O REGULAR;****;****;CRUZEIRO;REGULAR;***;0;30/07/2016
9120;26902;PTKNN;3992;AVI«O;CESSNA AIRCRAFT;210L;PIST«O;1;1724;6;1974;BRASIL;TPP;PARTICULAR;****;****;INDETERMINADA;PRIVADA;DESTRU÷DA;0;30/07/2016
9123;26959;PTOJU;3992;AVI«O;BEECH AIRCRAFT;C90;TURBOêLICE;2;4377;8;1980;BRASIL;TPP;PARTICULAR;SBMT;SBRP;SUBIDA;PRIVADA;SUBSTANCIAL;0;30/07/2016
9126;26980;PRGOW;2327;AVI«O;BOEING COMPANY;737-76N;JATO;2;62595;153;1998;BRASIL;TPR;REGULAR;****;****;POUSO;REGULAR;***;0;30/07/2016
9129;51020;PTMZX;4834;AVI«O;AIRBUS INDUSTRIE;A320-232;JATO;2;70000;184;2001;BRASIL;TPR;REGULAR;****;****;DESCIDA;REGULAR;NENHUM;0;30/07/2016
9133;27059;PPFLR;317;AVI«O;AERO BOERO;AB-180;PIST«O;1;844;2;1990;BRASIL;PRI;INSTRUÄ«O;****;****;INDETERMINADA;INSTRUÄ«O;***;0;30/07/2016
9138;45523;PTICG;3992;AVI«O;PIPER AIRCRAFT;PA-28R-200;PIST«O;1;1179;4;1972;BRASIL;TPP;PARTICULAR;****;****;SUBIDA;PRIVADA;SUBSTANCIAL;0;30/07/2016
9149;27302;PRITB;3992;AVI«O;CESSNA AIRCRAFT;208;TURBOêLICE;1;3792;11;2004;BRASIL;TPP;PARTICULAR;****;****;POUSO;PRIVADA;***;0;30/07/2016
9151;27306;PTROX;1378;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-721D;PIST«O;1;1633;7;1984;BRASIL;TPX;TµXI AêREO;****;****;INDETERMINADA;TµXI AêREO;DESTRU÷DA;0;30/07/2016
9155;27356;PTPPE;161;PLANADOR;LET AIRCRAFT INDUSTRIES;L23;SEM TRAÄ«O;0;509;2;1993;BRASIL;PRI;INSTRUÄ«O;****;****;RETA FINAL;INSTRUÄ«O;***;0;30/07/2016
9156;27375;PTUOE;3966;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-202;PIST«O;1;1800;1;2003;BRASIL;SAE-AG;AGR÷COLA;****;****;INDETERMINADA;AGR÷COLA;SUBSTANCIAL;0;30/07/2016
9158;27409;PPKBC;161;AVI«O;XAVANTE;A-122-B;PIST«O;1;840;2;1975;BRASIL;PRI;INSTRUÄ«O;****;****;INDETERMINADA;INSTRUÄ«O;***;0;30/07/2016
9160;27449;PTYFB;3992;HELIC‡PTERO;HELIBRAS;AS 350 B2;TURBOEIXO;1;2250;6;1999;BRASIL;TPP;PARTICULAR;SDUM;SBSP;CRUZEIRO;PRIVADA;SUBSTANCIAL;0;30/07/2016
