codigo_ocorrencia;uf;codigo_aeronave;equipamento;tipo_motor;ano_fabricacao;categoria_aviacao;tipo_operacao;quantidade_fatalidades;codigo_fator;aspecto;mes;ano;dia_semana;hora
26259;SP;9058;AVI«O      ;JATO      ;2000;N«O REGULAR         ;REGULAR   ;0;11083                                                                                                                           ;ASPECTO DO PROJETO           ; 1; 2006; 6; 0
26421;PR;9074;AVI«O      ;PIST«O    ;1994;AGR÷COLA            ;AGR÷COLA  ;0;11094                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 2; 2006; 7; 11
26439;AM;9075;AVI«O      ;PIST«O    ;1988;TµXI A?REO          ;TµXI A?REO;0;11096                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 3; 2006; 6; 19
26480;PR;9077;HELIC‡PTERO;PIST«O    ;2001;INSTRUÄ«O           ;INSTRUÄ«O ;0;11099                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 3; 2006; 4; 11
26521;RR;6046;AVI«O      ;PIST«O    ;1973;PARTICULAR          ;PRIVADA   ;1;11103                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 3; 2006; 3; 10
26559;SP;287;AVI«O      ;JATO      ;1990;REGULAR             ;REGULAR   ;0;                                                                                                                                ;                             ; 2; 2006; 2; 1
26560;SP;9081;AVI«O      ;JATO      ;1997;REGULAR             ;REGULAR   ;0;                                                                                                                                ;                             ; 3; 2006; 3; 2
26562;SP;9082;AVI«O      ;JATO      ;1991;REGULAR             ;REGULAR   ;0;11104                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 3; 2006; 4; 19
26609;MT;9089;AVI«O      ;PIST«O    ;1991;AGR÷COLA            ;AGR÷COLA  ;1;                                                                                                                                ;                             ; 3; 2006; 1; 13
26610;MT;9090;AVI«O      ;PIST«O    ;1962;PARTICULAR          ;PRIVADA   ;2;11108                                                                                                                           ;INFRAESTRUTURA AEROPORTU√?RIA; 3; 2006; 6; 15
26619;SP;9092;HELIC‡PTERO;TURBOEIXO ;2000;ESPECIALIZADA       ;ESPECIALIZ;2;11110                                                                                                                           ;ASPECTO PSICOL√ìGICO         ; 3; 2006; 6; 18
26620;RJ;9093;AVI«O      ;TURBO?LICE;1991;PARTICULAR          ;PRIVADA   ;19;11121                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 3; 2006; 6; 20
26621;MT;9094;AVI«O      ;PIST«O    ;0;AGR÷COLA            ;AGR÷COLA  ;1;11127                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 3; 2006; 3; 13
26622;ES;8655;AVI«O      ;JATO      ;1990;REGULAR             ;REGULAR   ;0;                                                                                                                                ;                             ; 3; 2006; 1; 0
26642;SC;9097;HELIC‡PTERO;PIST«O    ;1993;PARTICULAR          ;PRIVADA   ;1;11134                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 3; 2006; 6; 3
26643;MT;7734;AVI«O      ;PIST«O    ;1974;PARTICULAR          ;PRIVADA   ;0;11138                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 3; 2006; 3; 16
26660;RJ;4784;AVI«O      ;PIST«O    ;1948;ESPECIALIZADA       ;ESPECIALIZ;0;                                                                                                                                ;                             ; 2; 2006; 3; 16
26679;SC;483;AVI«O      ;PIST«O    ;1989;INSTRUÄ«O           ;INSTRUÄ«O ;0;11140                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 4; 2006; 4; 16
26719;SP;9103;HELIC‡PTERO;TURBOEIXO ;1981;TµXI A?REO          ;TµXI A?REO;3;11145                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 4; 2006; 5; 17
26720;PR;4987;AVI«O      ;PIST«O    ;1992;INSTRUÄ«O           ;INSTRUÄ«O ;0;11147                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 4; 2006; 4; 13
26723;RS;9107;AVI«O      ;PIST«O    ;1992;INSTRUÄ«O           ;INSTRUÄ«O ;0;11157                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 4; 2006; 1; 13
26759;MT;9111;AVI«O      ;PIST«O    ;1974;PARTICULAR          ;PRIVADA   ;4;11162                                                                                                                           ;ASPECTO PSICOL√ìGICO         ; 5; 2006; 2; 13
26779;RN;3292;AVI«O      ;PIST«O    ;1972;TµXI A?REO          ;TµXI A?REO;0;11165                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 5; 2006; 6; 10
26780;ES;9113;HELIC‡PTERO;PIST«O    ;2005;PARTICULAR          ;PRIVADA   ;0;11169                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 2; 2006; 5; 11
26860;SP;9116;HELIC‡PTERO;PIST«O    ;1995;PARTICULAR          ;PRIVADA   ;1;11175                                                                                                                           ;***                          ; 5; 2006; 6; 13
26861;MG;9117;AVI«O      ;JATO      ;1989;N«O REGULAR         ;REGULAR   ;0;                                                                                                                                ;                             ; 4; 2006; 6; 14
26902;MS;9120;AVI«O      ;PIST«O    ;1974;PARTICULAR          ;PRIVADA   ;0;                                                                                                                                ;                             ; 3; 2006; 5; 13
26959;SP;9123;AVI«O      ;TURBO?LICE;1980;PARTICULAR          ;PRIVADA   ;0;11181                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 5; 2006; 2; 10
26960;AL;1586;HELIC‡PTERO;TURBOEIXO ;1983;TµXI A?REO          ;TµXI A?REO;0;11184                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 4; 2006; 1; 13
26980;DF;9126;AVI«O      ;JATO      ;1998;REGULAR             ;REGULAR   ;0;                                                                                                                                ;                             ; 4; 2006; 6; 14
26999;PR;8954;AVI«O      ;TURBO?LICE;1988;PARTICULAR          ;PRIVADA   ;0;                                                                                                                                ;                             ; 5; 2006; 5; 22
27059;RS;9133;AVI«O      ;PIST«O    ;1990;INSTRUÄ«O           ;INSTRUÄ«O ;0;11186                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 6; 2006; 6; 13
27060;PR;4814;AVI«O      ;JATO      ;1970;PARTICULAR          ;PRIVADA   ;0;                                                                                                                                ;                             ; 5; 2006; 7; 20
27081;AM;8990;HELIC‡PTERO;TURBOEIXO ;1988;TµXI A?REO          ;TµXI A?REO;0;11188                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 1; 2006; 6; 13
27140;SP;2148;AVI«O      ;TURBO?LICE;1983;TµXI A?REO          ;TµXI A?REO;0;                                                                                                                                ;                             ; 5; 2006; 3; 12
27162;MG;1146;AVI«O      ;PIST«O    ;1992;INSTRUÄ«O           ;INSTRUÄ«O ;0;11190                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 5; 2006; 7; 18
27180;MG;7055;AVI«O      ;PIST«O    ;1974;TµXI A?REO          ;TµXI A?REO;0;                                                                                                                                ;                             ; 6; 2006; 4; 23
27260;PA;5566;AVI«O      ;PIST«O    ;1980;TµXI A?REO          ;TµXI A?REO;0;11199                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 6; 2006; 4; 13
27261;PA;1278;HELIC‡PTERO;TURBOEIXO ;1990;TµXI A?REO          ;TµXI A?REO;0;11200                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 6; 2006; 3; 11
27302;AM;9149;AVI«O      ;TURBO?LICE;2004;PARTICULAR          ;PRIVADA   ;0;11203                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 2; 2006; 4; 14
27306;AM;9151;AVI«O      ;PIST«O    ;1984;TµXI A?REO          ;TµXI A?REO;0;                                                                                                                                ;                             ; 7; 2006; 5; 16
27347;RJ;7313;HELIC‡PTERO;TURBOEIXO ;1982;TµXI A?REO          ;TµXI A?REO;0;11207                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 7; 2006; 3; 12
27356;GO;9155;PLANADOR   ;SEM TRAÄ«O;1993;INSTRUÄ«O           ;INSTRUÄ«O ;0;11211                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 6; 2006; 1; 15
27375;AL;9156;AVI«O      ;PIST«O    ;2003;AGR÷COLA            ;AGR÷COLA  ;0;11217                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 7; 2006; 7; 19
27389;GO;7553;AVI«O      ;PIST«O    ;1980;PARTICULAR          ;PRIVADA   ;0;11219                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 6; 2006; 6; 14
27409;GO;9158;AVI«O      ;PIST«O    ;1975;INSTRUÄ«O           ;INSTRUÄ«O ;0;11225                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 6; 2006; 7; 19
27410;AM;252;AVI«O      ;PIST«O    ;1982;TµXI A?REO          ;TµXI A?REO;0;                                                                                                                                ;                             ; 7; 2006; 2; 10
27449;SP;9160;HELIC‡PTERO;TURBOEIXO ;1999;PARTICULAR          ;PRIVADA   ;0;11227                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 8; 2006; 5; 0
27469;AM;7730;AVI«O      ;PIST«O    ;1982;PARTICULAR          ;PRIVADA   ;0;14615                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 8; 2006; 5; 14
27489;MG;3416;AVI«O      ;PIST«O    ;1980;TµXI A?REO          ;TµXI A?REO;0;                                                                                                                                ;                             ; 8; 2006; 4; 16
27490;BA;9163;AVI«O      ;PIST«O    ;1985;PARTICULAR          ;PRIVADA   ;0;11229                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 7; 2006; 1; 16
27531;SC;2871;AVI«O      ;PIST«O    ;1992;PARTICULAR          ;PRIVADA   ;0;                                                                                                                                ;                             ; 8; 2006; 1; 13
27532;MS;9165;AVI«O      ;PIST«O    ;1994;REGULAR             ;REGULAR   ;0;                                                                                                                                ;                             ; 8; 2006; 4; 14
27569;PA;5317;AVI«O      ;PIST«O    ;1972;TµXI A?REO          ;TµXI A?REO;0;11233                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 5; 2006; 3; 20
27633;RO;34545;AVI«O      ;***       ;0;***                 ;***       ;0;                                                                                                                                ;                             ; 8; 2006; 1; 12
27668;MG;3775;AVI«O      ;PIST«O    ;1992;INSTRUÄ«O           ;INSTRUÄ«O ;0;15789                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 9; 2006; 5; 17
27671;SP;9172;AVI«O      ;JATO      ;1992;REGULAR             ;REGULAR   ;0;11236                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 8; 2006; 3; 16
27689;SP;9173;HELIC‡PTERO;PIST«O    ;2000;PARTICULAR          ;PRIVADA   ;0;11240                                                                                                                           ;***                          ; 9; 2006; 2; 12
27690;PR;9174;AVI«O      ;PIST«O    ;1992;INSTRUÄ«O           ;INSTRUÄ«O ;0;11245                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 9; 2006; 2; 17
27709;RR;9175;AVI«O      ;PIST«O    ;1989;TµXI A?REO          ;TµXI A?REO;0;                                                                                                                                ;                             ; 9; 2006; 6; 18
27729;RJ;34546;AVI«O      ;JATO      ;1990;***                 ;***       ;0;                                                                                                                                ;                             ; 7; 2006; 4; 0
27730;SP;9176;HELIC‡PTERO;TURBOEIXO ;0;INSTRUÄ«O           ;INSTRUÄ«O ;0;                                                                                                                                ;                             ; 8; 2006; 1; 15
27809;PA;9181;AVI«O      ;PIST«O    ;1979;PARTICULAR          ;PRIVADA   ;0;11248                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 8; 2006; 2; 13
27811;PI;9182;AVI«O      ;PIST«O    ;1974;PARTICULAR          ;PRIVADA   ;0;11252                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 9; 2006; 2; 14
27812;MA;2002;HELIC‡PTERO;TURBOEIXO ;1968;TµXI A?REO          ;TµXI A?REO;0;11257                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 9; 2006; 4; 15
27813;PR;9184;AVI«O      ;TURBO?LICE;1988;REGULAR             ;REGULAR   ;0;                                                                                                                                ;                             ; 9; 2006; 3; 11
27834;MA;9185;AVI«O      ;PIST«O    ;1976;TµXI A?REO          ;TµXI A?REO;3;11262                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 10; 2006; 2; 20
27852;DF;9186;AVI«O      ;JATO      ;1993;REGULAR             ;REGULAR   ;0;                                                                                                                                ;                             ; 6; 2006; 6; 13
27853;PA;3508;AVI«O      ;PIST«O    ;1970;TµXI A?REO          ;TµXI A?REO;0;11264                                                                                                                           ;INFRAESTRUTURA AEROPORTU√?RIA; 9; 2006; 6; 18
27932;SP;9188;AVI«O      ;***       ;0;EXPERIMENTAL        ;EXPERIMENT;0;11269                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 2; 2006; 4; 0
27933;RS;9189;AVI«O      ;JATO      ;1993;TµXI A?REO          ;TµXI A?REO;0;                                                                                                                                ;                             ; 11; 2006; 2; 2
27935;ES;825;AVI«O      ;PIST«O    ;1972;PARTICULAR          ;PRIVADA   ;3;                                                                                                                                ;                             ; 10; 2006; 6; 22
27952;GO;9191;AVI«O      ;PIST«O    ;1984;PARTICULAR          ;PRIVADA   ;0;11271                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 11; 2006; 1; 15
27953;SP;9192;HELIC‡PTERO;TURBOEIXO ;1992;PARTICULAR          ;PRIVADA   ;0;11275                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 10; 2006; 1; 19
28015;DF;9193;AVI«O      ;PIST«O    ;1973;PARTICULAR          ;PRIVADA   ;0;11280                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 10; 2006; 5; 20
28016;RS;9194;AVI«O      ;PIST«O    ;1992;INSTRUÄ«O           ;INSTRUÄ«O ;0;11281                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 11; 2006; 4; 16
28033;RS;9195;AVI«O      ;PIST«O    ;1997;AGR÷COLA            ;AGR÷COLA  ;0;11284                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 11; 2006; 5; 10
28053;GO;9196;HELIC‡PTERO;TURBOEIXO ;1996;TµXI A?REO          ;TµXI A?REO;0;                                                                                                                                ;                             ; 11; 2006; 5; 12
28073;AM;5532;AVI«O      ;PIST«O    ;1978;TµXI A?REO          ;TµXI A?REO;0;11286                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 12; 2006; 6; 10
28093;DF;664;AVI«O      ;PIST«O    ;1971;PARTICULAR          ;PRIVADA   ;2;11290                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 12; 2006; 1; 16
28094;SP;9199;HELIC‡PTERO;PIST«O    ;1997;PARTICULAR          ;PRIVADA   ;0;11292                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 11; 2006; 1; 17
28096;RS;6640;AVI«O      ;PIST«O    ;1962;INSTRUÄ«O           ;INSTRUÄ«O ;0;11297                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 11; 2006; 1; 20
28114;SP;9202;AVI«O      ;PIST«O    ;1973;INSTRUÄ«O           ;INSTRUÄ«O ;0;11298                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 11; 2006; 7; 16
28115;SP;9203;AVI«O      ;JATO      ;1990;REGULAR             ;REGULAR   ;0;                                                                                                                                ;                             ; 10; 2006; 6; 9
28117;MS;9204;AVI«O      ;PIST«O    ;1974;PARTICULAR          ;PRIVADA   ;0;                                                                                                                                ;                             ; 11; 2006; 3; 17
28133;RS;9205;AVI«O      ;PIST«O    ;1951;INSTRUÄ«O           ;INSTRUÄ«O ;0;                                                                                                                                ;                             ; 12; 2006; 1; 21
28155;RJ;9208;AVI«O      ;PIST«O    ;2005;INSTRUÄ«O           ;INSTRUÄ«O ;0;                                                                                                                                ;                             ; 12; 2006; 3; 18
28156;PA;34547;AVI«O      ;JATO      ;0;***                 ;***       ;0;                                                                                                                                ;                             ; 12; 2006; 7; 17
28173;MT;9209;AVI«O      ;PIST«O    ;1986;PARTICULAR          ;PRIVADA   ;1;11302                                                                                                                           ;***                          ; 12; 2006; 2; 17
28193;PA;9210;AVI«O      ;TURBO?LICE;1991;AGR÷COLA            ;AGR÷COLA  ;1;11303                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 12; 2006; 7; 20
28235;AM;8187;AVI«O      ;PIST«O    ;1980;TµXI A?REO          ;TµXI A?REO;0;11306                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 12; 2006; 3; 9
28236;MT;9214;AVI«O      ;PIST«O    ;1990;AGR÷COLA            ;AGR÷COLA  ;0;                                                                                                                                ;                             ; 12; 2006; 4; 12
28256;SP;9215;AVI«O      ;PIST«O    ;1997;ESPECIALIZADA       ;ESPECIALIZ;0;11311                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 1; 2007; 1; 11
28335;PR;9216;AVI«O      ;PIST«O    ;1986;PARTICULAR          ;PRIVADA   ;2;11315                                                                                                                           ;***                          ; 1; 2007; 6; 12
28355;MG;4542;AVI«O      ;PIST«O    ;1966;TµXI A?REO          ;TµXI A?REO;2;11319                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 1; 2007; 5; 9
28375;PR;9218;AVI«O      ;JATO      ;2006;TµXI A?REO          ;TµXI A?REO;0;11322                                                                                                                           ;INFRAESTRUTURA AEROPORTU√?RIA; 1; 2007; 6; 18
28376;RS;9219;AVI«O      ;PIST«O    ;1983;AGR÷COLA            ;AGR÷COLA  ;2;11325                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 12; 2006; 7; 13
28377;MA;9220;AVI«O      ;PIST«O    ;1970;PARTICULAR          ;PRIVADA   ;3;11331                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 1; 2007; 7; 11
28379;BA;9221;AVI«O      ;PIST«O    ;1976;AGR÷COLA            ;AGR÷COLA  ;1;11334                                                                                                                           ;ASPECTO PSICOL√ìGICO         ; 1; 2007; 4; 9
28381;SP;9222;AVI«O      ;PIST«O    ;1974;ESPECIALIZADA       ;ESPECIALIZ;0;                                                                                                                                ;                             ; 1; 2007; 7; 3
28395;MT;7819;AVI«O      ;PIST«O    ;1985;PARTICULAR          ;PRIVADA   ;6;11340                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 2; 2007; 4; 10
28437;PE;39147;AVI«O      ;PIST«O    ;0;***                 ;***       ;0;15909                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 2; 2007; 6; 20
28455;MA;5803;AVI«O      ;PIST«O    ;1977;AGR÷COLA            ;AGR÷COLA  ;1;11344                                                                                                                           ;ASPECTO M√âDICO              ; 2; 2007; 6; 18
28475;PE;4304;AVI«O      ;PIST«O    ;1971;TµXI A?REO          ;TµXI A?REO;0;11351                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 1; 2007; 3; 16
28575;CE;4112;AVI«O      ;PIST«O    ;1966;TµXI A?REO          ;TµXI A?REO;0;11354                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 2; 2007; 6; 19
28615;RJ;3267;HELIC‡PTERO;TURBOEIXO ;1990;ADMINISTRAÄ«O DIRETA;N«O REGULA;0;                                                                                                                                ;                             ; 3; 2007; 3; 15
28617;BA;9228;AVI«O      ;PIST«O    ;1972;TµXI A?REO          ;TµXI A?REO;4;11360                                                                                                                           ;ASPECTO PSICOL√ìGICO         ; 3; 2007; 4; 16
28636;MS;9229;AVI«O      ;PIST«O    ;1976;PARTICULAR          ;PRIVADA   ;2;11366                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 3; 2007; 4; 17
28735;MA;9231;HELIC‡PTERO;PIST«O    ;2006;PARTICULAR          ;PRIVADA   ;0;11368                                                                                                                           ;INFRAESTRUTURA AEROPORTU√?RIA; 3; 2007; 7; 20
28775;RR;9232;AVI«O      ;PIST«O    ;1974;TµXI A?REO          ;TµXI A?REO;2;11372                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 3; 2007; 7; 17
28795;GO;9233;AVI«O      ;PIST«O    ;1985;PARTICULAR          ;PRIVADA   ;0;11378                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 4; 2007; 4; 14
28815;MG;2405;AVI«O      ;PIST«O    ;1964;PARTICULAR          ;PRIVADA   ;1;11380                                                                                                                           ;ASPECTO PSICOL√ìGICO         ; 4; 2007; 7; 12
28915;ES;9235;HELIC‡PTERO;TURBOEIXO ;1986;ADMINISTRAÄ«O DIRETA;POLICIAL  ;6;11385                                                                                                                           ;ASPECTO M√âDICO              ; 4; 2007; 2; 6
28935;BA;9236;AVI«O      ;TURBO?LICE;1986;TµXI A?REO          ;TµXI A?REO;0;11395                                                                                                                           ;ASPECTO PSICOL√ìGICO         ; 4; 2007; 4; 10
28955;AL;9237;AVI«O      ;PIST«O    ;1993;PARTICULAR          ;PRIVADA   ;0;11404                                                                                                                           ;ASPECTO PSICOL√ìGICO         ; 2; 2007; 5; 8
29095;PA;3335;AVI«O      ;PIST«O    ;1979;TµXI A?REO          ;TµXI A?REO;0;11410                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 2; 2007; 5; 12
29159;BA;9242;AVI«O      ;PIST«O    ;1981;TµXI A?REO          ;TµXI A?REO;0;11413                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 1; 2007; 2; 20
29161;CE;9244;AVI«O      ;JATO      ;1988;REGULAR             ;REGULAR   ;0;11417                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 4; 2007; 7; 8
29175;SP;9245;HELIC‡PTERO;TURBOEIXO ;1968;TµXI A?REO          ;TµXI A?REO;0;11422                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 4; 2007; 5; 12
29195;SP;9246;AVI«O      ;PIST«O    ;1963;INSTRUÄ«O           ;INSTRUÄ«O ;0;11427                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 5; 2007; 7; 16
29215;GO;9247;AVI«O      ;PIST«O    ;0;PARTICULAR          ;PRIVADA   ;0;11433                                                                                                                           ;***                          ; 5; 2007; 5; 10
29216;BA;9248;AVI«O      ;PIST«O    ;1971;PARTICULAR          ;PRIVADA   ;0;11437                                                                                                                           ;ASPECTO PSICOL√ìGICO         ; 3; 2007; 4; 20
29218;SP;9249;AVI«O      ;PIST«O    ;1998;PARTICULAR          ;PRIVADA   ;0;11443                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 4; 2007; 4; 12
29255;SP;9250;AVI«O      ;PIST«O    ;1989;PARTICULAR          ;PRIVADA   ;2;11446                                                                                                                           ;ASPECTO PSICOL√ìGICO         ; 5; 2007; 3; 11
29275;RJ;9251;HELIC‡PTERO;TURBOEIXO ;1995;PARTICULAR          ;PRIVADA   ;0;11452                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 12; 2006; 6; 18
29495;BA;1588;AVI«O      ;PIST«O    ;1947;PARTICULAR          ;PRIVADA   ;0;                                                                                                                                ;                             ; 6; 2007; 7; 12
29535;SP;9257;HELIC‡PTERO;PIST«O    ;1995;PARTICULAR          ;PRIVADA   ;0;11454                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 6; 2007; 6; 16
29555;SP;9258;PLANADOR   ;SEM TRAÄ«O;1988;INSTRUÄ«O           ;INSTRUÄ«O ;2;11459                                                                                                                           ;***                          ; 6; 2007; 6; 16
29618;RJ;3550;AVI«O      ;PIST«O    ;1974;INSTRUÄ«O           ;INSTRUÄ«O ;0;11470                                                                                                                           ;ASPECTO PSICOL√ìGICO         ; 6; 2007; 7; 13
29619;PA;8270;AVI«O      ;TURBO?LICE;1981;REGULAR             ;REGULAR   ;0;                                                                                                                                ;                             ; 6; 2007; 4; 15
29620;GO;505;AVI«O      ;PIST«O    ;1969;PARTICULAR          ;PRIVADA   ;0;11481                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 9; 2006; 4; 23
29655;MS;6474;AVI«O      ;PIST«O    ;1973;PARTICULAR          ;PRIVADA   ;0;                                                                                                                                ;                             ; 7; 2007; 1; 17
29677;SP;9267;HELIC‡PTERO;TURBOEIXO ;1997;TµXI A?REO          ;TµXI A?REO;0;                                                                                                                                ;                             ; 4; 2007; 6; 17
29678;BA;9268;AVI«O      ;JATO      ;1987;REGULAR             ;REGULAR   ;0;                                                                                                                                ;                             ; 3; 2007; 2; 17
29735;SP;9270;AVI«O      ;PIST«O    ;1980;TµXI A?REO          ;TµXI A?REO;0;                                                                                                                                ;                             ; 7; 2007; 1; 3
29736;MT;9271;AVI«O      ;PIST«O    ;1993;PARTICULAR          ;PRIVADA   ;0;11482                                                                                                                           ;ERGONOMIA                    ; 6; 2007; 6; 11
29796;PA;9276;AVI«O      ;PIST«O    ;1984;PARTICULAR          ;PRIVADA   ;1;11485                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 7; 2007; 4; 10
29855;TO;9278;HELIC‡PTERO;PIST«O    ;2000;PARTICULAR          ;PRIVADA   ;0;11487                                                                                                                           ;ASPECTO PSICOL√ìGICO         ; 6; 2007; 7; 14
29858;PA;9279;AVI«O      ;PIST«O    ;1974;PARTICULAR          ;PRIVADA   ;3;11495                                                                                                                           ;INFRAESTRUTURA AEROPORTU√?RIA; 7; 2007; 6; 15
29859;SP;9280;AVI«O      ;JATO      ;1998;REGULAR             ;REGULAR   ;199;11502                                                                                                                           ;ASPECTO M√âDICO              ; 7; 2007; 3; 21
29860;SP;9108;AVI«O      ;TURBO?LICE;1990;REGULAR             ;REGULAR   ;0;11519                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 7; 2007; 2; 15
